SpeciesCode,SpeciesName,disp_median,disp_mean,LDD_lwrCL,LDD_uppCL,2Dt_a,2Dt_b
ABIBAL,Abies balsamea,40,122.49,294.99,1011.41,0.6371845,813.08
ACERUB,Acer rubrum,100,229.89,288.41,1002.25,0.7169697,6137.05
ACESAC,Acer saccharum,100,121.87,153.21,528.03,2.0149279,24355.37
BETALL,Betula alleghaniensis,100,151.93,282.68,1007.09,1.0524301,10728.28
BETPAP,Betula papyrifera,200,451.6,282.68,1007.09,0.7239944,24923.72
PICMAR,Picea mariana,80,238.09,369.27,1281.44,0.643099,3301.9
PINSTR,Pinus strobus,60,149.13,243.3,832.99,0.6898673,2079.44
POPTRE,Populus tremuloides,200,312.09,1281.48,5582.77,1.009693,40537.7
QUERUB,Quercus rubra,30,107.57,105.99,1668.11,0.6096861,425.12
THUOCC,Thuja occidentalis,50,114.2,230.82,790.97,0.7194764,1542.63
